"filename", "language", "Markdown", "HTML", "JavaScript", "JSON", "XML", "Vue", "CSS", "Less", "comment", "blank", "total"
"d:\git\newbee-mall-vue3-app\README.md", "Markdown", 98, 0, 0, 0, 0, 0, 0, 0, 0, 41, 139
"d:\git\newbee-mall-vue3-app\index.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 8, 1, 23
"d:\git\newbee-mall-vue3-app\newbee-v3-server.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 8, 3, 16
"d:\git\newbee-mall-vue3-app\package-lock.json", "JSON", 0, 0, 0, 6158, 0, 0, 0, 0, 0, 1, 6159
"d:\git\newbee-mall-vue3-app\package.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"d:\git\newbee-mall-vue3-app\postcss.config.cjs", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 0, 12
"d:\git\newbee-mall-vue3-app\public\meeting.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\git\newbee-mall-vue3-app\src\App.vue", "Vue", 0, 0, 0, 0, 0, 81, 0, 0, 20, 8, 109
"d:\git\newbee-mall-vue3-app\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 59, 0, 2, 14, 75
"d:\git\newbee-mall-vue3-app\src\assets\done1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\git\newbee-mall-vue3-app\src\assets\done2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\git\newbee-mall-vue3-app\src\assets\done3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\git\newbee-mall-vue3-app\src\assets\done4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\git\newbee-mall-vue3-app\src\assets\done5.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\git\newbee-mall-vue3-app\src\assets\done6.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\git\newbee-mall-vue3-app\src\assets\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\git\newbee-mall-vue3-app\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\git\newbee-mall-vue3-app\src\common\js\utils.js", "JavaScript", 0, 0, 4263, 0, 0, 0, 0, 0, 38, 14, 4315
"d:\git\newbee-mall-vue3-app\src\common\style\base.less", "Less", 0, 0, 0, 0, 0, 0, 0, 36, 14, 2, 52
"d:\git\newbee-mall-vue3-app\src\common\style\mixin.less", "Less", 0, 0, 0, 0, 0, 0, 0, 67, 18, 12, 97
"d:\git\newbee-mall-vue3-app\src\common\style\theme.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\git\newbee-mall-vue3-app\src\components\ListScroll.vue", "Vue", 0, 0, 0, 0, 0, 79, 0, 0, 24, 3, 106
"d:\git\newbee-mall-vue3-app\src\components\NavBar.vue", "Vue", 0, 0, 0, 0, 0, 71, 0, 0, 24, 4, 99
"d:\git\newbee-mall-vue3-app\src\components\Qrcode.vue", "Vue", 0, 0, 0, 0, 0, 41, 0, 0, 8, 4, 53
"d:\git\newbee-mall-vue3-app\src\components\RotateCards.vue", "Vue", 0, 0, 0, 0, 0, 131, 0, 0, 8, 14, 153
"d:\git\newbee-mall-vue3-app\src\components\SimpleHeader.vue", "Vue", 0, 0, 0, 0, 0, 68, 0, 0, 9, 4, 81
"d:\git\newbee-mall-vue3-app\src\components\Swiper.vue", "Vue", 0, 0, 0, 0, 0, 28, 0, 0, 17, 4, 49
"d:\git\newbee-mall-vue3-app\src\components\VueImageVerify.vue", "Vue", 0, 0, 0, 0, 0, 72, 0, 0, 37, 4, 113
"d:\git\newbee-mall-vue3-app\src\components\bar-chart.vue", "Vue", 0, 0, 0, 0, 0, 198, 0, 0, 15, 6, 219
"d:\git\newbee-mall-vue3-app\src\components\half-pie-chart.vue", "Vue", 0, 0, 0, 0, 0, 195, 0, 0, 11, 7, 213
"d:\git\newbee-mall-vue3-app\src\main.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 9, 7, 73
"d:\git\newbee-mall-vue3-app\src\router\index.js", "JavaScript", 0, 0, 124, 0, 0, 0, 0, 0, 0, 3, 127
"d:\git\newbee-mall-vue3-app\src\service\address.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 8, 10, 37
"d:\git\newbee-mall-vue3-app\src\service\cart.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 8, 8, 32
"d:\git\newbee-mall-vue3-app\src\service\good.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 8, 6, 24
"d:\git\newbee-mall-vue3-app\src\service\home.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 8, 4, 16
"d:\git\newbee-mall-vue3-app\src\service\order.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 8, 12, 39
"d:\git\newbee-mall-vue3-app\src\service\user.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 8, 8, 32
"d:\git\newbee-mall-vue3-app\src\stores\cart.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 8, 2, 22
"d:\git\newbee-mall-vue3-app\src\utils\axios.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 8, 6, 43
"d:\git\newbee-mall-vue3-app\src\views\About.vue", "Vue", 0, 0, 0, 0, 0, 39, 0, 0, 8, 3, 50
"d:\git\newbee-mall-vue3-app\src\views\Address.vue", "Vue", 0, 0, 0, 0, 0, 79, 0, 0, 12, 6, 97
"d:\git\newbee-mall-vue3-app\src\views\AddressEdit.vue", "Vue", 0, 0, 0, 0, 0, 130, 0, 0, 15, 8, 153
"d:\git\newbee-mall-vue3-app\src\views\Cart.vue", "Vue", 0, 0, 0, 0, 0, 247, 0, 0, 18, 15, 280
"d:\git\newbee-mall-vue3-app\src\views\Category.vue", "Vue", 0, 0, 0, 0, 0, 202, 0, 0, 13, 7, 222
"d:\git\newbee-mall-vue3-app\src\views\CreateOrder.vue", "Vue", 0, 0, 0, 0, 0, 220, 0, 0, 9, 12, 241
"d:\git\newbee-mall-vue3-app\src\views\Home.vue", "Vue", 0, 0, 0, 0, 0, 508, 0, 0, 45, 16, 569
"d:\git\newbee-mall-vue3-app\src\views\Login.vue", "Vue", 0, 0, 0, 0, 0, 188, 0, 0, 12, 6, 206
"d:\git\newbee-mall-vue3-app\src\views\LoginNew.vue", "Vue", 0, 0, 0, 0, 0, 374, 0, 0, 10, 43, 427
"d:\git\newbee-mall-vue3-app\src\views\Order.vue", "Vue", 0, 0, 0, 0, 0, 153, 0, 0, 10, 11, 174
"d:\git\newbee-mall-vue3-app\src\views\OrderDetail.vue", "Vue", 0, 0, 0, 0, 0, 154, 0, 0, 11, 13, 178
"d:\git\newbee-mall-vue3-app\src\views\ProductDetail-done.vue", "Vue", 0, 0, 0, 0, 0, 219, 0, 0, 33, 11, 263
"d:\git\newbee-mall-vue3-app\src\views\ProductDetail.vue", "Vue", 0, 0, 0, 0, 0, 174, 0, 0, 12, 12, 198
"d:\git\newbee-mall-vue3-app\src\views\ProductList.vue", "Vue", 0, 0, 0, 0, 0, 229, 0, 0, 10, 11, 250
"d:\git\newbee-mall-vue3-app\src\views\Setting.vue", "Vue", 0, 0, 0, 0, 0, 56, 0, 0, 9, 7, 72
"d:\git\newbee-mall-vue3-app\src\views\User.vue", "Vue", 0, 0, 0, 0, 0, 141, 0, 0, 9, 7, 157
"d:\git\newbee-mall-vue3-app\vite.config.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 2, 22
"Total", "-", 98, 14, 4602, 6195, 8, 4077, 66, 103, 574, 405, 16142